,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,Пакет МАЙКА Быстроном 42*64см,6,1,6,"2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,"{'status': 2, 'id': '61514c706c74136650fdd6ca', 'kind': 'kkt', 'createdAt': '2021-09-27T07:45:37+03:00', 'statusDescription': {}, 'qr': 't=20210702T1757&s=2725.60&fn=9960440300122218&i=43370&fp=4095121561&n=1', 'operation': {'date': '2021-07-02T17:57', 'type': 1, 'sum': 272560}, 'process': [{'time': '2021-09-27T04:45:37+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 272560, 'documentId': 43370, 'fsId': '9960440300122218', 'fiscalSign': '4095121561', 'date': '2021-07-02T17:57'}, 'ticket': {'document': {'receipt': {'dateTime': 1625237820, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 272560, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 43370, 'fiscalDriveNumber': '9960440300122218', 'fiscalSign': 4095121561, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Пакет МАЙКА Быстроном 42*64см', 'nds': 1, 'paymentType': 4, 'price': 600, 'productType': 1, 'quantity': 1, 'sum': 600}, {'name': 'Виски СИНГЛТОН Молт Мастерс 40% ПК 0.7л', 'nds': 1, 'paymentType': 4, 'price': 239990, 'productType': 1, 'quantity': 1, 'sum': 239990}, {'name': 'Молоко ИРМЕНЬ пастер бзмж 3.2% пюр/пак 950мл', 'nds': 2, 'paymentType': 4, 'price': 6478, 'productType': 1, 'quantity': 1, 'sum': 6478}, {'name': 'Хлеб ИНСКОЙ Бородинский особый нарезка 400г', 'nds': 2, 'paymentType': 4, 'price': 2497, 'productType': 1, 'quantity': 1, 'sum': 2497}, {'name': 'Чипсы ЛЕЙС рифленые горчица 150г', 'nds': 1, 'paymentType': 4, 'price': 11497, 'productType': 1, 'quantity': 2, 'sum': 22994}, {'name': 'Магнит ПЕПСИ Города России', 'nds': 1, 'paymentType': 4, 'price': 1, 'productType': 1, 'quantity': 1, 'sum': 1}], 'kktRegId': '0004149587045087    ', 'nds10': 816, 'nds18': 43930, 'operationType': 1, 'operator': 'Шабанова', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 429, 'retailPlace': 'магазин ""Быстроном""', 'retailPlaceAddress': '630090, г. Новосибирск, ул. Инженерная, д. 5/1', 'shiftNumber': 139, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 272560, 'user': 'ООО ""ДельтаТорг""', 'userInn': '5405451755  '}}}, 'organization': {'name': 'ООО ""ДельтаТорг""', 'inn': '5405451755'}, 'seller': {'name': 'ООО ""ДельтаТорг""', 'inn': '5405451755'}}",t=20210702T1757&s=2725.60&fn=9960440300122218&i=43370&fp=4095121561&n=1,,,
,Виски СИНГЛТОН Молт Мастерс 40% ПК 0.7л,"2399,9",1,"2399,9","2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,,,,,
,Молоко ИРМЕНЬ пастер бзмж 3.2% пюр/пак 950мл,"64,78",1,"64,78","2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,,,,,
,Хлеб ИНСКОЙ Бородинский особый нарезка 400г,"24,97",1,"24,97","2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,,,,,
,Чипсы ЛЕЙС рифленые горчица 150г,"114,97",2,"229,94","2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,,,,,
,Магнит ПЕПСИ Города России,"0,01",1,"0,01","2725,6",2021-07-02 17:57,"магазин ""Быстроном""","630090, г. Новосибирск, ул. Инженерная, д. 5/1","ООО ""ДельтаТорг""",5405451755,"ООО ""ДельтаТорг""",5405451755,,,,,
,\\ Пакет БИО Добрянка большой 38+20х65/25,8,2,16,"2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,"{'status': 2, 'id': '61514c9f86fc9d87df3763dd', 'kind': 'kkt', 'createdAt': '2021-09-27T07:47:29+03:00', 'statusDescription': {}, 'qr': 't=20210822T1858&s=2434.01&fn=9280440301480824&i=1942&fp=242742578&n=1', 'operation': {'date': '2021-08-22T18:58', 'type': 1, 'sum': 243401}, 'process': [{'time': '2021-09-27T04:46:25+00:00', 'result': 30}, {'time': '2021-09-27T04:47:29+00:00', 'result': 21}, {'time': '2021-09-27T04:47:29+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 243401, 'documentId': 1942, 'fsId': '9280440301480824', 'fiscalSign': '242742578', 'date': '2021-08-22T18:58'}, 'ticket': {'document': {'receipt': {'dateTime': 1629647880, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 243401, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 1942, 'fiscalDriveNumber': '9280440301480824', 'fiscalSign': 242742578, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': '\\\\ Пакет БИО Добрянка большой 38+20х65/25', 'nds': 1, 'ndsSum': 267, 'paymentType': 4, 'price': 800, 'productType': 1, 'quantity': 2, 'sum': 1600}, {'name': 'БЗМЖ Молоко Ирмень 2.5% т/п/крыш 950г', 'nds': 2, 'ndsSum': 1125, 'paymentType': 4, 'price': 6190, 'productType': 1, 'quantity': 2, 'sum': 12380}, {'name': 'БЗМЖ Йогурт Простоквашино Классический 2.7', 'nds': 2, 'ndsSum': 1904, 'paymentType': 4, 'price': 10470, 'productType': 1, 'quantity': 2, 'sum': 20940}, {'name': 'Печенье Любятово Топленое молоко сахарное ', 'nds': 1, 'ndsSum': 1498, 'paymentType': 4, 'price': 8990, 'productType': 1, 'quantity': 1, 'sum': 8990}, {'name': 'Зебра к чаю 1кг вес', 'nds': 2, 'ndsSum': 678, 'paymentType': 4, 'price': 36900, 'productType': 1, 'quantity': 0.202, 'sum': 7454}, {'name': 'БЗМЖ Творог Купино 9% пл/пак 400г', 'nds': 2, 'ndsSum': 1406, 'paymentType': 4, 'price': 15470, 'productType': 1, 'quantity': 1, 'sum': 15470}, {'name': 'Персик инжирный 1кг вес', 'nds': 2, 'ndsSum': 1638, 'paymentType': 4, 'price': 26490, 'productType': 1, 'quantity': 0.68, 'sum': 18013}, {'name': 'Колбаса Брюкке Брауншвейгская с сыром п/к ', 'nds': 2, 'ndsSum': 2370, 'paymentType': 4, 'price': 79470, 'productType': 1, 'quantity': 0.328, 'sum': 26066}, {'name': 'БЗМЖ Сыр Чергинский МСЗ Российский 1кг вес', 'nds': 2, 'ndsSum': 1564, 'paymentType': 4, 'price': 53770, 'productType': 1, 'quantity': 0.32, 'sum': 17206}, {'name': 'Шоколад Риттер Спорт Цельный лесн орех тем', 'nds': 1, 'ndsSum': 2412, 'paymentType': 4, 'price': 14470, 'productType': 1, 'quantity': 1, 'sum': 14470}, {'name': 'БЗМЖ Творог Купино 9% пл/пак 200г', 'nds': 2, 'ndsSum': 1358, 'paymentType': 4, 'price': 7470, 'productType': 1, 'quantity': 2, 'sum': 14940}, {'name': 'Багет Артизан ржаной 200г', 'nds': 2, 'ndsSum': 290, 'paymentType': 4, 'price': 3190, 'productType': 1, 'quantity': 1, 'sum': 3190}, {'name': 'Батон Нарезной 400г', 'nds': 2, 'ndsSum': 381, 'paymentType': 4, 'price': 4190, 'productType': 1, 'quantity': 1, 'sum': 4190}, {'name': 'Сельдерей стебель 1кг вес', 'nds': 2, 'ndsSum': 1216, 'paymentType': 4, 'price': 29990, 'productType': 1, 'quantity': 0.446, 'sum': 13376}, {'name': 'Укроп 1кг вес', 'nds': 2, 'ndsSum': 114, 'paymentType': 4, 'price': 17986, 'productType': 1, 'quantity': 0.07, 'sum': 1259}, {'name': 'Бананы 1кг вес', 'nds': 1, 'ndsSum': 1429, 'paymentType': 4, 'price': 9790, 'productType': 1, 'quantity': 0.876, 'sum': 8576}, {'name': 'Яблоки Гала 1кг вес', 'nds': 2, 'ndsSum': 814, 'paymentType': 4, 'price': 15990, 'productType': 1, 'quantity': 0.56, 'sum': 8954}, {'name': 'Перец Ласточка средняя Азия 1кг вес', 'nds': 2, 'ndsSum': 631, 'paymentType': 4, 'price': 8990, 'productType': 1, 'quantity': 0.772, 'sum': 6940}, {'name': 'Салат Айсберг 1кг вес', 'nds': 2, 'ndsSum': 680, 'paymentType': 4, 'price': 17990, 'productType': 1, 'quantity': 0.416, 'sum': 7484}, {'name': 'Баклажаны средняя Азия 1кг вес', 'nds': 2, 'ndsSum': 501, 'paymentType': 4, 'price': 7990, 'productType': 1, 'quantity': 0.69, 'sum': 5513}, {'name': 'Базилик Сочно-Зелено-Зеленый в горшочке', 'nds': 2, 'ndsSum': 545, 'paymentType': 4, 'price': 5990, 'productType': 1, 'quantity': 1, 'sum': 5990}, {'name': 'ДОСТАВКА', 'nds': 1, 'ndsSum': 3317, 'paymentType': 4, 'price': 19900, 'productType': 4, 'quantity': 1, 'sum': 19900}, {'name': '\\\\ Пакет БИО Добрянка малый 28+13х50/15', 'nds': 1, 'ndsSum': 83, 'paymentType': 4, 'price': 500, 'productType': 1, 'quantity': 1, 'sum': 500}], 'kktRegId': '0004677978002944    ', 'nds10': 17215, 'nds18': 9006, 'operationType': 1, 'operator': 'Кассир Астра', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 34, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г.Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 44, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 243401, 'user': 'ООО ""Русская поварня""', 'userInn': '5403044264  '}}}, 'organization': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}, 'seller': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}}",t=20210822T185800&s=2434.01&fn=9280440301480824&i=1942&fp=242742578&n=1,,,
,БЗМЖ Молоко Ирмень 2.5% т/п/крыш 950г,"61,9",2,"123,8","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Йогурт Простоквашино Классический 2.7,"104,7",2,"209,4","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Печенье Любятово Топленое молоко сахарное ,"89,9",1,"89,9","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Зебра к чаю 1кг вес,369,"0,202","74,54","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Творог Купино 9% пл/пак 400г,"154,7",1,"154,7","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Персик инжирный 1кг вес,"264,9","0,68","180,13","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Колбаса Брюкке Брауншвейгская с сыром п/к ,"794,7","0,328","260,66","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Сыр Чергинский МСЗ Российский 1кг вес,"537,7","0,32","172,06","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Шоколад Риттер Спорт Цельный лесн орех тем,"144,7",1,"144,7","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Творог Купино 9% пл/пак 200г,"74,7",2,"149,4","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Багет Артизан ржаной 200г,"31,9",1,"31,9","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Батон Нарезной 400г,"41,9",1,"41,9","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Сельдерей стебель 1кг вес,"299,9","0,446","133,76","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Укроп 1кг вес,"179,86","0,07","12,59","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Бананы 1кг вес,"97,9","0,876","85,76","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Яблоки Гала 1кг вес,"159,9","0,56","89,54","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Перец Ласточка средняя Азия 1кг вес,"89,9","0,772","69,4","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Салат Айсберг 1кг вес,"179,9","0,416","74,84","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Баклажаны средняя Азия 1кг вес,"79,9","0,69","55,13","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Базилик Сочно-Зелено-Зеленый в горшочке,"59,9",1,"59,9","2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,ДОСТАВКА,199,1,199,"2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,\\ Пакет БИО Добрянка малый 28+13х50/15,5,1,5,"2434,01",2021-08-22 18:58,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Ветчина Рубленая,321,"0,302","96,94","245,94",2021-08-24 17:54,Торговый зал,"630058, г. Новосибирск, ул. 2-я Миргородская, 5","ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""",5433128031,"ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""",5433128031,"{'status': 2, 'id': '61514d206c74136650fdd6fc', 'kind': 'kkt', 'createdAt': '2021-09-27T07:48:32+03:00', 'statusDescription': {}, 'qr': 't=20210824T1754&s=245.94&fn=9285440300342050&i=44696&fp=2356050024&n=1', 'operation': {'date': '2021-08-24T17:54', 'type': 1, 'sum': 24594}, 'process': [{'time': '2021-09-27T04:48:32+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 24594, 'documentId': 44696, 'fsId': '9285440300342050', 'fiscalSign': '2356050024', 'date': '2021-08-24T17:54'}, 'ticket': {'document': {'receipt': {'dateTime': 1629816840, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 24594, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 44696, 'fiscalDriveNumber': '9285440300342050', 'fiscalSign': 2356050024, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Ветчина Рубленая', 'nds': 2, 'ndsSum': 881, 'paymentType': 4, 'price': 32100, 'productType': 1, 'quantity': 0.302, 'sum': 9694}, {'name': 'БЗМЖ Сметана Купино ж15% 350 гр стакан', 'nds': 2, 'ndsSum': 609, 'paymentType': 4, 'price': 6700, 'productType': 1, 'quantity': 1, 'sum': 6700}, {'name': 'Яйцо отборное ""Деревенское"" (20 шт. в кор.)', 'nds': 2, 'ndsSum': 745, 'paymentType': 4, 'price': 8200, 'productType': 1, 'quantity': 1, 'sum': 8200}], 'kktRegId': '0001844085062533    ', 'nds10': 2235, 'operationType': 1, 'operator': 'Новак Виктория Викторовна', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 130, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630058, г. Новосибирск, ул. 2-я Миргородская, 5', 'shiftNumber': 286, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 24594, 'user': 'ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""', 'userInn': '5433128031  '}}}, 'organization': {'name': 'ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""', 'inn': '5433128031'}, 'seller': {'name': 'ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""', 'inn': '5433128031'}}",t=20210824T175400&s=245.94&fn=9285440300342050&i=44696&fp=2356050024&n=1,,,
,БЗМЖ Сметана Купино ж15% 350 гр стакан,67,1,67,"245,94",2021-08-24 17:54,Торговый зал,"630058, г. Новосибирск, ул. 2-я Миргородская, 5","ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""",5433128031,"ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""",5433128031,,,,,
